product,review,issue_date,announcement_date,effective_close_date,country,action,company_name,stock_code,mapping_status,mapping_score,matched_name,mapping_source,source_pdf,row_order
small_cap,2023-05,2023-05-11,2023-05-11,2023-05-31,TAIWAN,addition,UNIZYX HOLDING,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May23_SCPublicList.pdf,5
small_cap,2024-05,2024-05-14,2024-05-14,2024-05-31,TAIWAN,addition,YUNGSHIN CONST & DEV,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May24_SCPublicList.pdf,28
small_cap,2025-05,2025-05-13,2025-05-13,2025-05-30,TAIWAN,addition,ECHEM SOLUTIONS,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May25_SCPublicList.pdf,1
small_cap,2025-05,2025-05-13,2025-05-13,2025-05-30,TAIWAN,deletion,GALLANT PREC MACHINING,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May25_SCPublicList.pdf,6
small_cap,2025-05,2025-05-13,2025-05-13,2025-05-30,TAIWAN,deletion,KMC (KUEI MENG) INTL,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_May25_SCPublicList.pdf,8
small_cap,2008-11,2008-11-11,2008-11-11,2008-11-25,TAIWAN,addition,AVY PRECISION TECH,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov08_SCPublicList.pdf,3
small_cap,2008-11,2008-11-11,2008-11-11,2008-11-25,TAIWAN,addition,CANDO CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov08_SCPublicList.pdf,4
small_cap,2008-11,2008-11-11,2008-11-11,2008-11-25,TAIWAN,addition,CHINA HI MENT,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov08_SCPublicList.pdf,7
small_cap,2008-11,2008-11-11,2008-11-11,2008-11-25,TAIWAN,addition,SOLARTECH ENERGY CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov08_SCPublicList.pdf,17
small_cap,2008-11,2008-11-11,2008-11-11,2008-11-25,TAIWAN,deletion,WONTEN TECHNOLOGY CO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov08_SCPublicList.pdf,5
small_cap,2008-11,2008-11-11,2008-11-11,2008-11-25,TAIWAN,deletion,RALINK TECHNOLOGY CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov08_SCPublicList.pdf,10
small_cap,2009-11,2009-11-11,2009-11-11,2009-11-30,TAIWAN,addition,CHAMPION BUILDING MATRLS,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov09_SCPublicList.pdf,2
small_cap,2009-11,2009-11-11,2009-11-11,2009-11-30,TAIWAN,addition,HOLDKEY ELECTRIC WIRE,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov09_SCPublicList.pdf,12
small_cap,2009-11,2009-11-11,2009-11-11,2009-11-30,TAIWAN,addition,SINOAMERICAN SILICON PRO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov09_SCPublicList.pdf,27
small_cap,2009-11,2009-11-11,2009-11-11,2009-11-30,TAIWAN,deletion,CATHAY NO 1 REIT,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov09_SCPublicList.pdf,1
small_cap,2009-11,2009-11-11,2009-11-11,2009-11-30,TAIWAN,deletion,YUNGSHIN CONSTR & DEVLPT,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov09_SCPublicList.pdf,3
small_cap,2010-11,2010-11-10,2010-11-10,2010-11-30,TAIWAN,addition,CHINESE GAMER INT'L,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov10_SCPublicList.pdf,6
small_cap,2010-11,2010-11-10,2010-11-10,2010-11-30,TAIWAN,addition,INTEGRATED MEMORY LOGIC,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov10_SCPublicList.pdf,14
small_cap,2010-11,2010-11-10,2010-11-10,2010-11-30,TAIWAN,addition,KAI CHIEH INTL INV,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov10_SCPublicList.pdf,15
small_cap,2010-11,2010-11-10,2010-11-10,2010-11-30,TAIWAN,addition,PC HOME ONLINE,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov10_SCPublicList.pdf,23
small_cap,2010-11,2010-11-10,2010-11-10,2010-11-30,TAIWAN,addition,PROSPERITY DIELECT CO LT,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov10_SCPublicList.pdf,24
small_cap,2010-11,2010-11-10,2010-11-10,2010-11-30,TAIWAN,addition,RUENTEX ENGIN & CONST,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov10_SCPublicList.pdf,25
small_cap,2010-11,2010-11-10,2010-11-10,2010-11-30,TAIWAN,addition,TAIWAN PULP & PAPER CO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov10_SCPublicList.pdf,31
small_cap,2010-11,2010-11-10,2010-11-10,2010-11-30,TAIWAN,deletion,SINOAMERICAN SILICON PRO,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov10_SCPublicList.pdf,8
small_cap,2011-11,2011-11-15,2011-11-15,2011-11-30,TAIWAN,addition,TAIWAN PROSPERITY CHEMIC,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov11_SCPublicList.pdf,17
small_cap,2011-11,2011-11-15,2011-11-15,2011-11-30,TAIWAN,deletion,E-ONE MOLI ENERGY CORP,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov11_SCPublicList.pdf,11
small_cap,2011-11,2011-11-15,2011-11-15,2011-11-30,TAIWAN,deletion,HOLDKEY ELECTRIC WIRE,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov11_SCPublicList.pdf,16
small_cap,2011-11,2011-11-15,2011-11-15,2011-11-30,TAIWAN,deletion,MAGLAYERS SCIENTIFIC TE,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov11_SCPublicList.pdf,21
small_cap,2011-11,2011-11-15,2011-11-15,2011-11-30,TAIWAN,deletion,POWER QUOTIENT INT'L,,needs_review,0.0,,,/Users/johan/Documents/invest/msci_index_reviews/pdf/smallcap/MSCI_Nov11_SCPublicList.pdf,29
