country,company_name,candidate_stock_code,candidate_matched_name,candidate_score,candidate_source
TAIWAN,GLOBAL LIGHTING TECH,3149,G-TECH,0.89,FinLab company_basic_info:英文簡稱
TAIWAN,LITE-ON SEMICONDUCTOR,6926,Shine-On Bio,0.4848,FinLab company_basic_info:英文簡稱
TAIWAN,MARKETECH INTL CORP,1906,Baolong Intl.,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,QST INTERNATIONAL CORP,8349,QST,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,ASIA POLYMER,3019,ASIA,0.9233,FinLab company_basic_info:英文簡稱
TAIWAN,GLOBAL BRANDS MANUFACT,4566,GLOBAL TEK,0.53,FinLab company_basic_info:英文簡稱
TAIWAN,ITE TECHNOLOGY,3014,ITE,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,TAITA CHEMICAL,1773,SHINY CHEMICAL,0.7143,FinLab company_basic_info:英文簡稱
TAIWAN,VIA LABS,4153,DIVA Labs.,0.8235,FinLab company_basic_info:英文簡稱
TAIWAN,NIDEC CHAUN CHOUNG TECH,3149,G-TECH,0.8861,FinLab company_basic_info:英文簡稱
TAIWAN,EVERGREEN STEEL,2071,Chen Nan Steel,0.5517,FinLab company_basic_info:英文簡稱
TAIWAN,GENESYS LOGIC,3473,Fiber Logic,0.5833,FinLab company_basic_info:英文簡稱
TAIWAN,RUENTEX ENGR & CONST,2915,RUENTEX IND.LTD,0.6361,FinLab company_basic_info:英文簡稱
TAIWAN,UPI SEMICONDUCTOR CORP,6719,uPI,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,JIH SUN FINANCIAL,2881,Fubon Financial,0.75,FinLab company_basic_info:英文簡稱
TAIWAN,PAN GERMAN UNIVERSAL,3218,UNIVERSAL,0.905,FinLab company_basic_info:英文簡稱
TAIWAN,ALAR PHARMACEUTICALS,6785,Alar,0.91,FinLab company_basic_info:英文簡稱
TAIWAN,HD RENEWABLE ENERGY,7758,KEELGOAL ENERGY,0.6471,FinLab company_basic_info:英文簡稱
TAIWAN,HUA ENG WIRE & CABLE CO.,4911,G&E,0.4828,FinLab company_basic_info:英文簡稱
TAIWAN,MATERIALS ANALYSIS TECH,8358,CO-TECH,0.8774,FinLab company_basic_info:英文簡稱
TAIWAN,APEX INTERNATIONAL,5210,APEX,0.9122,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA GENERAL PLASTICS,1809,China Glaze,0.5755,FinLab company_basic_info:英文簡稱
TAIWAN,EVERLIGHT CHEMICAL,2393,EVERLIGHT,0.94,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN SPECIALITY CHEM,1513,CHEM,0.8782,FinLab company_basic_info:英文簡稱
TAIWAN,KMC (KUEI MENG) INTL,5306,KMC,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,LONGCHEN PAPER & PAC CO,1909,Longchen P&P,0.8721,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN TEA CORP,3066,TAIWAN OASIS,0.7573,FinLab company_basic_info:英文簡稱
TAIWAN,UNITED RENEWABLE ENERGY,7758,KEELGOAL ENERGY,0.5789,FinLab company_basic_info:英文簡稱
TAIWAN,GALLANT MICRO MACHINING,8054,Alcor Micro,0.4706,FinLab company_basic_info:英文簡稱
TAIWAN,GROUP UP INDUSTRIAL,6664,Group Up,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,HOTA INDUSTRIAL MFG CO,1536,HOTA,0.9111,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA HI MENT,1809,China Glaze,0.6133,FinLab company_basic_info:英文簡稱
TAIWAN,SOLARTECH ENERGY CORP,6179,ATE ENERGY.INC,0.7692,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN COGENERATION,3066,TAIWAN OASIS,0.6752,FinLab company_basic_info:英文簡稱
TAIWAN,WAYS TECHNICAL,3508,Ways,0.9186,FinLab company_basic_info:英文簡稱
TAIWAN,GENESYS LOGIC INC,3473,Fiber Logic,0.5833,FinLab company_basic_info:英文簡稱
TAIWAN,WONTEN TECHNOLOGY CO,6863,Arizon RFID Technology,0.6667,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,RALINK TECHNOLOGY CORP,6863,Arizon RFID Technology,0.7179,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,ENE TECHNOLOGY CO,6243,ENE,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,EXCELSIOR MEDICAL CO,6496,Excelsior,0.9429,FinLab company_basic_info:英文簡稱
TAIWAN,LEADTREND TECH CORP,8358,CO-TECH,0.8886,FinLab company_basic_info:英文簡稱
TAIWAN,OCEAN PLASTICS CO,8478,Ocean Alexander,0.5817,FinLab company_basic_info:英文簡稱
TAIWAN,SHINKONG INSURANCE CO,2850,SK Insurance,0.8,FinLab company_basic_info:英文簡稱
TAIWAN,YEH-CHIANG TECH,3149,G-TECH,0.9,FinLab company_basic_info:英文簡稱
TAIWAN,CATHAY NO 1 REIT,2501,CATHAY RED,0.7223,FinLab company_basic_info:英文簡稱
TAIWAN,YUNGSHIN CONSTR & DEVLPT,1909,Longchen P&P,0.5238,FinLab company_basic_info:英文簡稱
TAIWAN,ACHEM TECHNOLOGY,6863,Arizon RFID Technology,0.6316,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,FORMOSAN UNION CHEMICAL,1773,SHINY CHEMICAL,0.5946,FinLab company_basic_info:英文簡稱
TAIWAN,INTEGRATED MEMORY LOGIC,3473,Fiber Logic,0.5294,FinLab company_basic_info:英文簡稱
TAIWAN,PC HOME ONLINE,8044,PChome online,0.963,FinLab company_basic_info:英文簡稱
TAIWAN,PROSPERITY DIELECT CO LT,6555,LT,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,RUENTEX ENGIN & CONST,2915,RUENTEX IND.LTD,0.6771,FinLab company_basic_info:英文簡稱
TAIWAN,STANDARD CHEMICAL&PHARM,1773,SHINY CHEMICAL,0.5366,FinLab company_basic_info:英文簡稱
TAIWAN,WAN HWA ENTERPRISE,2801,CHANG HWA BANK,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA STEEL STRUCTURE CO,2071,Chen Nan Steel,0.5714,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN PROSPERITY CHEMIC,3066,TAIWAN OASIS,0.5856,FinLab company_basic_info:英文簡稱
TAIWAN,EFUN TECHNOLOGY,3523,EFUN,0.9167,FinLab company_basic_info:英文簡稱
TAIWAN,MAGLAYERS SCIENTIFIC TE,2035,TE,0.5,FinLab company_basic_info:英文簡稱
TAIWAN,MICROELECTRONICS TECH,8358,CO-TECH,0.879,FinLab company_basic_info:英文簡稱
TAIWAN,O-TA PRECISION INDUSTRY,8924,O-TA,0.9074,FinLab company_basic_info:英文簡稱
TAIWAN,PARAGON TECHNOLOGIES CO,7822,V5 TECHNOLOGIES,0.7429,FinLab company_basic_info:英文簡稱
TAIWAN,TAIWAN CHI CHENG ENT.,9924,TAIWAN FU HSING,0.6586,FinLab company_basic_info:英文簡稱
TAIWAN,ILI TECHNOLOGY CORP,6863,Arizon RFID Technology,0.7222,TWSE OpenAPI t187ap03_L:公司名稱
TAIWAN,ROTAM GLOBAL AGROSCIE,4566,GLOBAL TEK,0.5161,FinLab company_basic_info:英文簡稱
TAIWAN,KYE SYSTEMS CORP,2365,KYE,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,SAN CHIH SEMICONDUCTOR,5007,SAN SHING,0.4816,FinLab company_basic_info:英文簡稱
TAIWAN,FIRST STEAMSHIP,2706,FIRST HOTEL,0.6454,FinLab company_basic_info:英文簡稱
TAIWAN,YEONG GUAN ENERGY GROUP,6987,Ina Energy,0.6667,FinLab company_basic_info:英文簡稱
TAIWAN,ADVANCED INT'L MULTITECH,8938,ADVANCED GROUP,0.9233,FinLab company_basic_info:英文簡稱
TAIWAN,TANG ENG IRON WORKS CO,6182,WAFER WORKS,0.6,FinLab company_basic_info:英文簡稱
TAIWAN,CHINA CHEM & PHARM CO,1513,CHEM,0.88,FinLab company_basic_info:英文簡稱
TAIWAN,FSP TECHNOLOGY,6670,FSP,0.6967,FinLab company_basic_info:英文簡稱
TAIWAN,GREAT TAIPEI GAS,6469,Great Tree,0.6454,FinLab company_basic_info:英文簡稱
