country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status
TAIWAN,TAIWAN PAIHO,9938,TAIWAN PAIHO,FinLab company_basic_info:英文簡稱,1.0,mapped_exact_normalized
USA,3PAR,,,,0.0,needs_review
USA,AAON,AAON,"AAON, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,AMERICAN NATIONAL INS,,,,0.0,needs_review
USA,AMERISAFE INC,AMSF,AMERISAFE INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CADENCE PHARMACEUTICALS,,,,0.0,needs_review
USA,CASS INFORMATION SYSTEMS,CASS,CASS INFORMATION SYSTEMS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,CASTLEPOINT HLDGS,,,,0.0,needs_review
USA,COHERENT,COHR,COHERENT CORP.,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,COLFAX CORP,,,,0.0,needs_review
USA,COMPELLENT TECHNOLOGIES,,,,0.0,needs_review
USA,COMPUTER PROGRAMS & SYS,,,,0.0,needs_review
USA,CORNELL COS,,,,0.0,needs_review
USA,DANA HLDG CORP,,,,0.0,needs_review
USA,DIAMOND FOODS INC,,,,0.0,needs_review
USA,DXP ENTERPRISES,DXPE,DXP ENTERPRISES INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,EBIX,,,,0.0,needs_review
USA,ENER1,,,,0.0,needs_review
USA,ENSIGN GROUP (THE),ENSG,"ENSIGN GROUP, INC",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,EXACTECH,,,,0.0,needs_review
USA,FEDERAL MOGUL CORP A,,,,0.0,needs_review
USA,FINISH LINE A,,,,0.0,needs_review
USA,FURMANITE CORP,,,,0.0,needs_review
USA,G III APPAREL GROUP,GIII,"G-III Apparel Group, LTD. - Common Stock",NasdaqTrader nasdaqlisted,1.0,mapped_exact_normalized
USA,GENOPTIX,,,,0.0,needs_review
USA,GREAT LAKES DREDGE DOCK,,,,0.0,needs_review
USA,GREENLIGHT CAPITAL A,,,,0.0,needs_review
USA,GT SOLAR INTERNATIONAL,,,,0.0,needs_review
USA,HANGER ORTHOPEDIC GROUP,,,,0.0,needs_review
USA,HATTERAS FINL CORP,,,,0.0,needs_review
USA,IDENIX PHARMACEUTICALS,,,,0.0,needs_review
USA,IDERA PHARMA,,,,0.0,needs_review
USA,INNOPHOS HOLDINGS,,,,0.0,needs_review
USA,INTEGRAL SYSTEMS,,,,0.0,needs_review
USA,INTERNET BRANDS-CL A,,,,0.0,needs_review
USA,IPC THE HOSPITALIST,,,,0.0,needs_review
USA,K12,,,,0.0,needs_review
USA,K-TRON INTERNATIONAL,,,,0.0,needs_review
USA,LIFE SCIENCES RESEARCH,,,,0.0,needs_review
USA,MAINSOURCE FINANCIAL GRP,,,,0.0,needs_review
USA,MARTEN TRANSPORT,MRTN,MARTEN TRANSPORT LTD,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,NAVISTAR INTERNATIONAL,,,,0.0,needs_review
USA,NETEZZA,,,,0.0,needs_review
USA,NETSCOUT SYSTEMS,NTCT,NETSCOUT SYSTEMS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,NPS PHARMACEUTICALS,,,,0.0,needs_review
USA,QUESTCOR PHARMACEUTICALS,,,,0.0,needs_review
USA,REX ENERGY CORP,,,,0.0,needs_review
USA,SCBT FINANCIAL CORP,,,,0.0,needs_review
USA,SEQUENOM,,,,0.0,needs_review
USA,SMART BALANCE,,,,0.0,needs_review
USA,SOUTHSIDE BANCSHARES,SBSI,SOUTHSIDE BANCSHARES INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,STANDEX INTERNATIONAL,SXI,Standex International Corporation Common Stock,NasdaqTrader otherlisted,1.0,mapped_exact_normalized
USA,STAR SCIENTIFIC,,,,0.0,needs_review
USA,STEC,,,,0.0,needs_review
USA,SUFFOLK BANCORP,,,,0.0,needs_review
USA,SY BANCORP,,,,0.0,needs_review
USA,SYNTA PHARMACEUTICALS,,,,0.0,needs_review
USA,TERCICA,,,,0.0,needs_review
USA,TERREMARK WORLDWIDE,,,,0.0,needs_review
USA,UNION BANKSHARES CORP,UNB,UNION BANKSHARES INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,UNIVERSAL TRUCKLOAD,,,,0.0,needs_review
USA,VIVUS,,,,0.0,needs_review
USA,VNUS MEDICAL TECH,,,,0.0,needs_review
USA,WESTFIELD FINANCIAL,,,,0.0,needs_review
USA,WEYCO GROUP,WEYS,WEYCO GROUP INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,ABITIBIBOWATER,,,,0.0,needs_review
USA,ACACIA RSCH-TECH,,,,0.0,needs_review
USA,AIR TRANSPORT SERVICES,,,,0.0,needs_review
USA,ALESCO FINANCIAL,,,,0.0,needs_review
USA,ASTA FUNDING,,,,0.0,needs_review
USA,ASYST TECHNOLOGIES,,,,0.0,needs_review
USA,AVANEX CORP,,,,0.0,needs_review
USA,BANKATLANTIC BANCORP A,,,,0.0,needs_review
