country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status,is_verified_mapping,universe_match,universe_checked,backtest_ready_mapping
USA,VIKING THERAPEUTICS,VKTX,"Viking Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ZYMEWORKS (US),ZYME,Zymeworks Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,908 DEVICES,MASS,908 Devices Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ALTO INGREDIENTS INC,ALTO,"Alto Ingredients, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,BARK,BARK,"Bark, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,BEACHBODY COMPANY A,BODI,"Beachbody Company, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,CARDLYTICS,CDLX,"Cardlytics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,CELULARITY,CELU,Celularity Inc,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,CONTAINER STORE GROUP,TCS,"The Container Store Group, Inc.",web_verified_round2:https://investor.containerstore.com/investor-kit/default.aspx,0.97,verified_us_web_high_confidence,true,true,us_dayTradePortfolio Close union,true
USA,EASTMAN KODAK,KODK,EASTMAN KODAK CO,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,GOSSAMER BIO,GOSS,"Gossamer Bio, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,HONEST COMPANY,HNST,"Honest Company, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,INOTIV,NOTV,"Inotiv, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,LANDS' END,LE,"LANDS' END, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,MEIRAGTX HOLDINGS,MGTX,MeiraGTx Holdings plc,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,NEXTNAV,NN,NEXTNAV INC.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,NKARTA,NKTX,"Nkarta, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,OCUGEN,OCGN,"Ocugen, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,OPTIMIZERX,OPRX,OptimizeRx Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,PLAYTIKA HOLDING CORP,PLTK,Playtika Holding Corp.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,QUANTUM-SI A,QSI,Quantum-Si Inc,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,SKILLSOFT A,SKIL,Skillsoft Corp.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,SKILLZ A,SKLZ,Skillz Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,WW INTERNATIONAL,WW,"WW INTERNATIONAL, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ALTIMMUNE,ALT,"Altimmune, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,AN2 THERAPEUTICS,ANTX,"AN2 Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,APPLIED OPTOELECTRONICS,AAOI,"APPLIED OPTOELECTRONICS, INC.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ATLAS ENERGY SOLUTIONS,AESI,Atlas Energy Solutions Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,CRAWFORD & CO A,CRD-A,CRAWFORD & CO,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,DIEBOLD NIXDORF,DBD,"DIEBOLD NIXDORF, Inc",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,IMMUNOME,IMNM,Immunome Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,KLAVIYO A,KVYO,"Klaviyo, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,LIQUIDIA CORPORATION,LQDA,Liquidia Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,SPYRE THERAPEUTICS,SYRE,"Spyre Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,ACLARIS THERAPEUTICS,ACRS,"Aclaris Therapeutics, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,AGENUS,AGEN,AGENUS INC,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,CHILDREN'S PLACE,PLCE,"Children's Place, Inc. (The) - Common Stock",NasdaqTrader nasdaqlisted,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,HALLADOR ENERGY CO,HNRG,HALLADOR ENERGY CO,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,MAGNACHIP SEMICONDUCTOR,MX,MAGNACHIP SEMICONDUCTOR Corp,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
USA,NET POWER,NPWR,NET Power Inc.,SEC company_tickers_exchange,1.0,mapped_exact_normalized,true,true,us_dayTradePortfolio Close union,true
