ticker,name,exchange,source,norm
1410,南染,sii,FinLab company_basic_info:公司簡稱,
1410,南洋染整股份有限公司,sii,FinLab company_basic_info:公司名稱,
1410,NYDF,sii,FinLab company_basic_info:英文簡稱,NYDF
1413,宏洲,sii,FinLab company_basic_info:公司簡稱,
1413,宏洲纖維工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1413,H.C.,sii,FinLab company_basic_info:英文簡稱,H
1414,東和,sii,FinLab company_basic_info:公司簡稱,
1414,東和紡織股份有限公司,sii,FinLab company_basic_info:公司名稱,
1414,TUNG HO,sii,FinLab company_basic_info:英文簡稱,TUNG HO
1416,廣豐,sii,FinLab company_basic_info:公司簡稱,
1416,廣豐實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1416,KFIC,sii,FinLab company_basic_info:英文簡稱,KFIC
1417,嘉裕,sii,FinLab company_basic_info:公司簡稱,
1417,嘉裕股份有限公司,sii,FinLab company_basic_info:公司名稱,
1417,CARNIVAL,sii,FinLab company_basic_info:英文簡稱,CARNIVAL
1418,東華,sii,FinLab company_basic_info:公司簡稱,
1418,東華龍股份有限公司,sii,FinLab company_basic_info:公司名稱,
1418,TongHwa,sii,FinLab company_basic_info:英文簡稱,TONGHWA
1419,新紡,sii,FinLab company_basic_info:公司簡稱,
1419,新光紡織股份有限公司,sii,FinLab company_basic_info:公司名稱,
1419,SHINKO.TEXTILE,sii,FinLab company_basic_info:英文簡稱,SHINKO TEXTILE
1423,利華,sii,FinLab company_basic_info:公司簡稱,
1423,利華羊毛工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1423,REWARD WOOL,sii,FinLab company_basic_info:英文簡稱,REWARD WOOL
1432,大魯閣,sii,FinLab company_basic_info:公司簡稱,
1432,大魯閣實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1432,TAROKO,sii,FinLab company_basic_info:英文簡稱,TAROKO
1434,福懋,sii,FinLab company_basic_info:公司簡稱,
1434,福懋興業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1434,F.T.C,sii,FinLab company_basic_info:英文簡稱,F T
1435,中福,sii,FinLab company_basic_info:公司簡稱,
1435,中福國際(股)公司,sii,FinLab company_basic_info:公司名稱,
1435,C.F.CORP.,sii,FinLab company_basic_info:英文簡稱,C F
1436,華友聯,sii,FinLab company_basic_info:公司簡稱,
1436,華友聯開發股份有限公司,sii,FinLab company_basic_info:公司名稱,
1436,HUA YU LIEN,sii,FinLab company_basic_info:英文簡稱,HUA YU LIEN
1437,勤益控,sii,FinLab company_basic_info:公司簡稱,
1437,勤益投資控股股份有限公司,sii,FinLab company_basic_info:公司名稱,
1437,GTM,sii,FinLab company_basic_info:英文簡稱,GTM
1438,三地開發,sii,FinLab company_basic_info:公司簡稱,
1438,三地開發地產股份有限公司,sii,FinLab company_basic_info:公司名稱,
1438,SanDi,sii,FinLab company_basic_info:英文簡稱,SANDI
1439,雋揚,sii,FinLab company_basic_info:公司簡稱,
1439,雋揚國際股份有限公司,sii,FinLab company_basic_info:公司名稱,
1439,ASCENT,sii,FinLab company_basic_info:英文簡稱,ASCENT
1440,南紡,sii,FinLab company_basic_info:公司簡稱,
1440,臺南紡織股份有限公司,sii,FinLab company_basic_info:公司名稱,
1440,TAINAN SPINNING,sii,FinLab company_basic_info:英文簡稱,TAINAN SPINNING
1441,大東,sii,FinLab company_basic_info:公司簡稱,
1441,大東紡織股份有限公司,sii,FinLab company_basic_info:公司名稱,
1441,TAH TONG,sii,FinLab company_basic_info:英文簡稱,TAH TONG
1442,名軒,sii,FinLab company_basic_info:公司簡稱,
1442,名軒開發股份有限公司,sii,FinLab company_basic_info:公司名稱,
1442,ADVANCETEK,sii,FinLab company_basic_info:英文簡稱,ADVANCETEK
1443,立益物流,sii,FinLab company_basic_info:公司簡稱,
1443,立益物流開發股份有限公司,sii,FinLab company_basic_info:公司名稱,
1443,LILYTEXTILE,sii,FinLab company_basic_info:英文簡稱,LILYTEXTILE
1444,力麗,sii,FinLab company_basic_info:公司簡稱,
1444,力麗企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1444,LEALEA,sii,FinLab company_basic_info:英文簡稱,LEALEA
1445,大宇,sii,FinLab company_basic_info:公司簡稱,
1445,大宇紡織股份有限公司,sii,FinLab company_basic_info:公司名稱,
1445,UNIVERSAL,sii,FinLab company_basic_info:英文簡稱,UNIVERSAL
1446,宏和,sii,FinLab company_basic_info:公司簡稱,
1446,宏和精密紡織股份有限公司,sii,FinLab company_basic_info:公司名稱,
1446,HONG HO,sii,FinLab company_basic_info:英文簡稱,HONG HO
1447,力鵬,sii,FinLab company_basic_info:公司簡稱,
1447,力鵬企業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1447,LP,sii,FinLab company_basic_info:英文簡稱,
1449,佳和,sii,FinLab company_basic_info:公司簡稱,
1449,佳和實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1449,CHIA HER,sii,FinLab company_basic_info:英文簡稱,CHIA HER
1451,年興,sii,FinLab company_basic_info:公司簡稱,
1451,年興紡織股份有限公司,sii,FinLab company_basic_info:公司名稱,
1451,NIEN HSING,sii,FinLab company_basic_info:英文簡稱,NIEN HSING
1452,宏益,sii,FinLab company_basic_info:公司簡稱,
1452,宏益纖維工業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1452,HONG YI,sii,FinLab company_basic_info:英文簡稱,HONG YI
1453,大將,sii,FinLab company_basic_info:公司簡稱,
1453,大將開發股份有限公司,sii,FinLab company_basic_info:公司名稱,
1453,TA JIANG,sii,FinLab company_basic_info:英文簡稱,TA JIANG
1454,台富,sii,FinLab company_basic_info:公司簡稱,
1454,台灣富綢纖維股份有限公司,sii,FinLab company_basic_info:公司名稱,
1454,TTF,sii,FinLab company_basic_info:英文簡稱,TTF
1455,集盛,sii,FinLab company_basic_info:公司簡稱,
1455,集盛實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1455,ZIG SHENG,sii,FinLab company_basic_info:英文簡稱,ZIG SHENG
1456,怡華,sii,FinLab company_basic_info:公司簡稱,
1456,怡華實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1456,I-HWA,sii,FinLab company_basic_info:英文簡稱,I HWA
1457,宜進,sii,FinLab company_basic_info:公司簡稱,
1457,宜進實業股份有限公司,sii,FinLab company_basic_info:公司名稱,
1457,YI JINN,sii,FinLab company_basic_info:英文簡稱,YI JINN
1459,聯發,sii,FinLab company_basic_info:公司簡稱,
1459,聯發紡織纖維股份有限公司,sii,FinLab company_basic_info:公司名稱,
1459,LAN FA,sii,FinLab company_basic_info:英文簡稱,LAN FA
1460,宏遠,sii,FinLab company_basic_info:公司簡稱,
